Code,Occupation,Job Family,Cluster
13-2011.00,accountants auditors,Business and Financial Operations,0
27-2011.00,actors,"Arts, Design, Entertainment, Sports, and Media",0
15-2011.00,actuaries,Computer and Mathematical,0
29-1291.00,acupuncturists,Healthcare Practitioners and Technical,0
29-1141.01,acute care nurses,Healthcare Practitioners and Technical,0
25-2059.01,adapted physical education specialists,Educational Instruction and Library,4
51-9191.00,adhesive bonding machine operators tenders,Production,0
23-1021.00,administrative law judges adjudicators hearing officers,Legal,0
11-3012.00,administrative services managers,Management,7
25-3011.00,adult basic education adult secondary education english second language instructors,Educational Instruction and Library,6
29-1141.02,advanced practice psychiatric nurses,Healthcare Practitioners and Technical,0
11-2011.00,advertising promotions managers,Management,7
41-3011.00,advertising sales agents,Sales and Related,3
17-3021.00,aerospace engineering operations technologists technicians,Architecture and Engineering,1
17-2011.00,aerospace engineers,Architecture and Engineering,9
13-1011.00,agents business managers artists performers athletes,Business and Financial Operations,7
17-2021.00,agricultural engineers,Architecture and Engineering,9
45-2091.00,agricultural equipment operators,"Farming, Fishing, and Forestry",5
45-2011.00,agricultural inspectors,"Farming, Fishing, and Forestry",0
25-1041.00,agricultural sciences teachers postsecondary,Educational Instruction and Library,2
19-4012.00,agricultural technicians,"Life, Physical, and Social Science",1
45-2099.00,agricultural workers,"Farming, Fishing, and Forestry",0
55-3011.00,air crew members,Military Specific,0
55-1011.00,air crew officers,Military Specific,0
53-2021.00,air traffic controllers,Transportation and Material Moving,0
53-1041.00,aircraft cargo handling supervisors,Transportation and Material Moving,0
55-1012.00,aircraft launch recovery officers,Military Specific,0
55-3012.00,aircraft launch recovery specialists,Military Specific,4
49-3011.00,aircraft mechanics service technicians,"Installation, Maintenance, and Repair",1
53-6032.00,aircraft service attendants,Transportation and Material Moving,0
51-2011.00,aircraft structure surfaces rigging systems assemblers,Production,0
53-2022.00,airfield operations specialists,Transportation and Material Moving,4
53-2011.00,airline pilots copilots flight engineers,Transportation and Material Moving,8
29-1229.01,allergists immunologists,Healthcare Practitioners and Technical,0
53-3011.00,ambulance drivers attendants except emergency medical technicians,Transportation and Material Moving,1
39-3091.00,amusement recreation attendants,Personal Care and Service,0
